Name,P-Value,Name,P-Value
SAVBAL_Bin7,1.83E-76,DDABAL_Bin7,2.15E-04
SAVBAL_Bin6,2.65E-46,TELLER_Bin2,9.01E-04
DDA1,1.01E-31,CC1,0.000968851
CDBAL_Bin3,1.14E-29,SAVBAL_Bin2,0.001123416
MMBAL_Bin2,8.37E-23,IRA1,0.001338377
SAVBAL_Bin5,1.13E-21,DDABAL_Bin6,0.001922867
CDBAL_Bin2,7.23E-12,SAVBAL_Bin4,0.002642624
CHECKS_Bin4,1.48E-09,DDABAL_Bin5,0.012260029
TELLER_Bin3,2.00E-09,SAVBAL_Bin3,0.046188759
ILS1,1.33E-08,DDABAL_Bin4,0.056243091
DDABAL_Bin8,3.56E-07,ATMAMT_Bin2,0.06751464
ATMAMT_Bin3,5.81E-07,DDABAL_Bin3,0.242380972
INV1,2.81E-05,DDABAL_Bin2,0.601041854
INVMISSING,8.05E-05,CHECKS_Bin2,0.628357013
MTG1,1.05E-04,CHECKS_Bin3,0.734725498
NSF1,1.28E-04,,